tanggal,o3(ug/m3),o3_ispu,temperatur_rata-rata(Â°C),kelembapan_rata-rata(%),curah_hujan(mm),kecepatan_angin_rata-rata(m/s)
2010-01-31,51.0,22.0,27.4,80.2,14.4,2.5
2010-02-28,97.1,41.0,28.2,80.3,9.6,2.6
2010-03-31,101.1,42.0,28.6,78.5,9.4,2.6
2010-04-30,118.3,49.0,29.6,74.5,2.2,2.7
2010-05-31,124.3,52.0,29.3,76.7,2.8,2.7
2010-06-30,102.4,43.0,28.8,77.4,5.8,2.6
2010-07-31,102.3,43.0,28.3,78.1,7.6,2.6
2010-08-31,115.5,48.0,28.7,75.9,5.5,2.8
2010-09-30,110.5,46.0,28.1,78.2,9.1,2.6
2010-10-31,146.9,62.0,27.9,78.1,11.9,2.8
2010-11-30,137.7,58.0,28.3,77.5,5.9,2.7
2010-12-31,67.8,29.0,27.7,75.8,4.3,3.1
2011-01-31,79.6,34.0,27.2,80.0,5.1,3.1
2011-02-28,94.6,40.0,27.6,79.6,9.1,2.8
2011-03-31,77.6,33.0,27.9,76.0,5.1,3.3
2011-04-30,123.9,52.0,28.7,74.8,1.8,3.0
2011-05-31,153.0,64.0,28.8,76.1,6.0,2.6
2011-06-30,148.9,63.0,28.7,72.6,2.7,2.7
2011-07-31,144.7,61.0,28.3,74.4,0.6,3.0
2011-08-31,170.4,72.0,28.8,68.4,0.1,2.8
2011-09-30,185.3,78.0,29.0,68.4,1.8,2.7
2011-10-31,183.8,78.0,29.2,71.0,3.1,2.8
2011-11-30,187.6,79.0,28.9,73.6,1.6,2.7
2011-12-31,163.6,69.0,28.5,76.2,3.7,2.6
2012-01-31,156.7,66.0,27.7,79.6,8.9,2.9
2012-02-29,180.3,76.0,28.4,76.6,3.8,2.3
2012-03-31,166.4,70.0,28.6,75.2,6.4,3.1
2012-04-30,203.9,86.0,28.7,77.0,8.1,2.8
2012-05-31,181.5,77.0,29.0,74.5,3.2,2.9
2012-06-30,168.1,71.0,28.8,72.8,2.4,2.8
2012-07-31,191.3,81.0,28.4,70.1,0.8,2.6
2012-08-31,182.6,77.0,28.6,68.7,0.0,2.7
2012-09-30,197.3,84.0,28.9,69.3,0.7,2.5
2012-10-31,185.8,79.0,29.6,71.3,0.7,2.5
2012-11-30,184.0,78.0,28.6,77.9,11.0,2.6
2012-12-31,138.4,58.0,28.1,78.8,9.0,3.0
2013-01-31,,,,,,
2013-02-28,,,,,,
2013-03-31,,,,,,
2013-04-30,,,,,,
2013-05-31,,,,,,
2013-06-30,,,,,,
2013-07-31,,,,,,
2013-08-31,,,,,,
2013-09-30,,,,,,
2013-10-31,,,,,,
2013-11-30,,,,,,
2013-12-31,,,,,,
2014-01-31,,,,,,
2014-02-28,,,,,,
2014-03-31,,,,,,
2014-04-30,,,,,,
2014-05-31,,,,,,
2014-06-30,,,,,,
2014-07-31,,,,,,
2014-08-31,,,,,,
2014-09-30,,,,,,
2014-10-31,,,,,,
2014-11-30,,,,,,
2014-12-31,,,,,,
2015-01-31,,,,,,
2015-02-28,,,,,,
2015-03-31,,,,,,
2015-04-30,,,,,,
2015-05-31,,,,,,
2015-06-30,,,,,,
2015-07-31,,,,,,
2015-08-31,,,,,,
2015-09-30,,,,,,
2015-10-31,,,,,,
2015-11-30,,,,,,
2015-12-31,,,,,,
2016-01-31,135.2,57.0,28.0,83.8,11.0,1.2
2016-02-29,100.2,42.0,27.7,83.3,19.7,1.4
2016-03-31,95.3,40.0,28.4,81.6,13.5,1.4
2016-04-30,44.9,19.0,29.3,77.7,8.9,1.4
2016-05-31,47.3,20.0,29.2,79.2,5.6,0.9
2016-06-30,57.6,25.0,28.6,77.6,8.1,1.1
2016-07-31,62.1,26.0,28.4,78.2,8.6,1.3
2016-08-31,66.3,28.0,28.4,76.9,7.8,1.1
2016-09-30,62.5,27.0,28.4,77.3,7.3,1.2
2016-10-31,61.2,26.0,28.3,78.4,4.7,1.2
2016-11-30,73.3,31.0,28.4,78.0,5.5,1.4
2016-12-31,31.1,14.0,28.4,75.2,2.0,2.2
2017-01-31,42.6,18.0,28.1,78.4,8.7,1.7
2017-02-28,100.7,42.0,27.2,82.8,20.5,1.7
2017-03-31,135.3,57.0,28.1,78.3,4.6,1.3
2017-04-30,118.5,49.0,28.7,77.4,3.3,1.4
2017-05-31,158.0,67.0,29.1,75.8,4.5,1.1
2017-06-30,115.2,48.0,28.7,77.4,5.3,1.4
2017-07-31,176.9,75.0,28.6,74.2,4.1,1.1
2017-08-31,181.6,77.0,28.7,69.4,0.0,1.6
2017-09-30,175.7,74.0,28.8,72.4,5.7,1.3
2017-10-31,165.4,70.0,29.0,74.9,4.0,1.3
2017-11-30,155.5,65.0,28.3,78.2,7.4,1.5
2017-12-31,74.9,32.0,28.2,76.3,9.4,1.6
2018-01-31,67.2,28.0,27.8,76.2,8.6,2.0
2018-02-28,75.5,32.0,27.2,82.7,17.0,1.6
2018-03-31,129.3,54.0,28.0,79.8,7.5,1.5
2018-04-30,48.2,21.0,28.9,76.8,4.1,1.2
2018-05-31,101.9,43.0,29.6,73.5,0.1,1.2
2018-06-30,67.4,29.0,28.7,76.6,0.2,1.0
2018-07-31,78.8,33.0,27.9,70.4,0.0,1.1
2018-08-31,74.8,32.0,28.2,69.9,1.1,1.1
2018-09-30,58.3,25.0,28.8,67.5,2.7,1.4
2018-10-31,69.8,30.0,29.5,71.3,5.3,1.2
2018-11-30,136.2,57.0,28.9,75.2,5.0,1.1
2018-12-31,142.8,60.0,28.7,74.8,2.5,1.6
2019-01-31,163.5,69.0,27.5,82.1,26.3,1.4
2019-02-28,99.2,42.0,28.2,80.8,10.6,1.4
2019-03-31,99.8,42.0,28.2,78.6,10.9,1.6
2019-04-30,123.3,51.0,28.9,78.5,7.0,1.5
2019-05-31,120.6,50.0,29.6,73.6,1.7,1.5
2019-06-30,149.9,63.0,29.2,72.1,0.8,1.2
2019-07-31,131.7,55.0,28.7,67.9,0.0,1.3
2019-08-31,143.1,60.0,28.3,68.8,0.0,1.4
2019-09-30,140.4,59.0,28.8,68.9,0.0,1.2
2019-10-31,159.5,67.0,29.5,70.0,0.0,1.2
2019-11-30,162.7,69.0,29.5,70.8,2.0,1.3
2019-12-31,123.3,51.0,28.6,78.6,8.0,1.4
